Q Value,Bot1 Result,Bot1 Position,Bot2 Result,Bot2 Position,Bot3 Result,Bot3 Position,Bot4 Result,Bot4 Position,Button Position,Fire Position
0.1,Success,"(18, 27)",Success,"(18, 27)",Success,"(18, 27)",Success,"(18, 27)","(36, 5)","(14, 7)"
0.2,Success,"(5, 23)",Success,"(5, 23)",Success,"(5, 23)",Success,"(5, 23)","(23, 20)","(18, 12)"
0.3,Success,"(37, 4)",Success,"(37, 4)",Success,"(37, 4)",Success,"(37, 4)","(3, 28)","(1, 12)"
0.4,Success,"(16, 34)",Success,"(16, 34)",Success,"(16, 34)",Success,"(16, 34)","(1, 21)","(25, 18)"
0.5,Success,"(10, 24)",Success,"(10, 24)",Success,"(10, 24)",Success,"(10, 24)","(8, 7)","(36, 6)"
0.6,Success,"(30, 10)",Success,"(30, 10)",Success,"(30, 10)",Success,"(30, 10)","(36, 2)","(31, 10)"
0.7,Success,"(24, 12)",Success,"(24, 12)",Success,"(24, 12)",Success,"(24, 12)","(9, 30)","(21, 16)"
0.8,Success,"(25, 9)",Success,"(25, 9)",Success,"(25, 9)",Success,"(25, 9)","(29, 14)","(38, 26)"
0.9,Success,"(20, 24)",Success,"(20, 24)",Success,"(20, 24)",Success,"(20, 24)","(13, 28)","(17, 18)"
0.1,Success,"(16, 21)",Success,"(16, 21)",Success,"(16, 21)",Success,"(16, 21)","(22, 18)","(3, 33)"
0.1,Success,"(37, 11)",Success,"(37, 11)",Success,"(37, 11)",Success,"(37, 11)","(24, 1)","(2, 35)"
0.1,Success,"(5, 11)",Success,"(5, 11)",Success,"(5, 11)",Success,"(5, 11)","(38, 8)","(23, 9)"
0.1,Success,"(26, 1)",Success,"(26, 1)",Success,"(26, 1)",Success,"(26, 1)","(11, 3)","(28, 26)"
0.1,Success,"(23, 6)",Success,"(23, 6)",Success,"(23, 6)",Success,"(23, 6)","(18, 20)","(1, 8)"
0.1,Success,"(20, 2)",Success,"(20, 2)",Success,"(20, 2)",Success,"(20, 2)","(13, 34)","(4, 8)"
0.1,Success,"(13, 34)",Success,"(13, 34)",Success,"(13, 34)",Success,"(13, 34)","(19, 16)","(35, 34)"
0.1,Success,"(16, 29)",Success,"(16, 29)",Success,"(16, 29)",Success,"(16, 29)","(19, 4)","(31, 16)"
0.1,Success,"(18, 2)",Success,"(18, 2)",Success,"(18, 2)",Success,"(18, 2)","(22, 12)","(15, 30)"
